timestamp,date,activity
2003-05-07 12:00:00,7/5/2003,0
2003-05-07 12:01:00,7/5/2003,143
2003-05-07 12:02:00,7/5/2003,0
2003-05-07 12:03:00,7/5/2003,20
2003-05-07 12:04:00,7/5/2003,166
2003-05-07 12:05:00,7/5/2003,160
2003-05-07 12:06:00,7/5/2003,17
2003-05-07 12:07:00,7/5/2003,646
2003-05-07 12:08:00,7/5/2003,978
2003-05-07 12:09:00,7/5/2003,306
2003-05-07 12:10:00,7/5/2003,277
2003-05-07 12:11:00,7/5/2003,439
2003-05-07 12:12:00,7/5/2003,130
2003-05-07 12:13:00,7/5/2003,32
2003-05-07 12:14:00,7/5/2003,184
2003-05-07 12:15:00,7/5/2003,454
2003-05-07 12:16:00,7/5/2003,783
2003-05-07 12:17:00,7/5/2003,386
2003-05-07 12:18:00,7/5/2003,306
2003-05-07 12:19:00,7/5/2003,120
2003-05-07 12:20:00,7/5/2003,268
2003-05-07 12:21:00,7/5/2003,268
2003-05-07 12:22:00,7/5/2003,204
2003-05-07 12:23:00,7/5/2003,485
2003-05-07 12:24:00,7/5/2003,485
2003-05-07 12:25:00,7/5/2003,328
2003-05-07 12:26:00,7/5/2003,61
2003-05-07 12:27:00,7/5/2003,172
2003-05-07 12:28:00,7/5/2003,1221
2003-05-07 12:29:00,7/5/2003,783
2003-05-07 12:30:00,7/5/2003,398
2003-05-07 12:31:00,7/5/2003,469
2003-05-07 12:32:00,7/5/2003,190
2003-05-07 12:33:00,7/5/2003,242
2003-05-07 12:34:00,7/5/2003,242
2003-05-07 12:35:00,7/5/2003,212
2003-05-07 12:36:00,7/5/2003,91
2003-05-07 12:37:00,7/5/2003,116
2003-05-07 12:38:00,7/5/2003,259
2003-05-07 12:39:00,7/5/2003,667
2003-05-07 12:40:00,7/5/2003,783
2003-05-07 12:41:00,7/5/2003,469
2003-05-07 12:42:00,7/5/2003,485
2003-05-07 12:43:00,7/5/2003,587
2003-05-07 12:44:00,7/5/2003,568
2003-05-07 12:45:00,7/5/2003,306
2003-05-07 12:46:00,7/5/2003,134
2003-05-07 12:47:00,7/5/2003,242
2003-05-07 12:48:00,7/5/2003,139
2003-05-07 12:49:00,7/5/2003,235
2003-05-07 12:50:00,7/5/2003,197
2003-05-07 12:51:00,7/5/2003,667
2003-05-07 12:52:00,7/5/2003,517
2003-05-07 12:53:00,7/5/2003,328
2003-05-07 12:54:00,7/5/2003,759
2003-05-07 12:55:00,7/5/2003,8
2003-05-07 12:56:00,7/5/2003,306
2003-05-07 12:57:00,7/5/2003,689
2003-05-07 12:58:00,7/5/2003,469
2003-05-07 12:59:00,7/5/2003,197
2003-05-07 13:00:00,7/5/2003,306
2003-05-07 13:01:00,7/5/2003,286
2003-05-07 13:02:00,7/5/2003,12
2003-05-07 13:03:00,7/5/2003,0
2003-05-07 13:04:00,7/5/2003,130
2003-05-07 13:05:00,7/5/2003,160
2003-05-07 13:06:00,7/5/2003,296
2003-05-07 13:07:00,7/5/2003,317
2003-05-07 13:08:00,7/5/2003,338
2003-05-07 13:09:00,7/5/2003,277
2003-05-07 13:10:00,7/5/2003,88
2003-05-07 13:11:00,7/5/2003,79
2003-05-07 13:12:00,7/5/2003,197
2003-05-07 13:13:00,7/5/2003,154
2003-05-07 13:14:00,7/5/2003,172
2003-05-07 13:15:00,7/5/2003,250
2003-05-07 13:16:00,7/5/2003,398
2003-05-07 13:17:00,7/5/2003,52
2003-05-07 13:18:00,7/5/2003,38
2003-05-07 13:19:00,7/5/2003,70
2003-05-07 13:20:00,7/5/2003,8
2003-05-07 13:21:00,7/5/2003,517
2003-05-07 13:22:00,7/5/2003,14
2003-05-07 13:23:00,7/5/2003,178
2003-05-07 13:24:00,7/5/2003,250
2003-05-07 13:25:00,7/5/2003,67
2003-05-07 13:26:00,7/5/2003,190
2003-05-07 13:27:00,7/5/2003,296
2003-05-07 13:28:00,7/5/2003,190
2003-05-07 13:29:00,7/5/2003,184
2003-05-07 13:30:00,7/5/2003,154
2003-05-07 13:31:00,7/5/2003,349
2003-05-07 13:32:00,7/5/2003,197
2003-05-07 13:33:00,7/5/2003,286
2003-05-07 13:34:00,7/5/2003,197
2003-05-07 13:35:00,7/5/2003,242
2003-05-07 13:36:00,7/5/2003,689
2003-05-07 13:37:00,7/5/2003,166
2003-05-07 13:38:00,7/5/2003,32
2003-05-07 13:39:00,7/5/2003,398
2003-05-07 13:40:00,7/5/2003,485
2003-05-07 13:41:00,7/5/2003,296
2003-05-07 13:42:00,7/5/2003,469
2003-05-07 13:43:00,7/5/2003,398
2003-05-07 13:44:00,7/5/2003,296
2003-05-07 13:45:00,7/5/2003,809
2003-05-07 13:46:00,7/5/2003,948
2003-05-07 13:47:00,7/5/2003,712
2003-05-07 13:48:00,7/5/2003,835
2003-05-07 13:49:00,7/5/2003,349
2003-05-07 13:50:00,7/5/2003,712
2003-05-07 13:51:00,7/5/2003,667
2003-05-07 13:52:00,7/5/2003,667
2003-05-07 13:53:00,7/5/2003,485
2003-05-07 13:54:00,7/5/2003,361
2003-05-07 13:55:00,7/5/2003,361
2003-05-07 13:56:00,7/5/2003,0
2003-05-07 13:57:00,7/5/2003,0
2003-05-07 13:58:00,7/5/2003,0
2003-05-07 13:59:00,7/5/2003,0
2003-05-07 14:00:00,7/5/2003,0
2003-05-07 14:01:00,7/5/2003,0
2003-05-07 14:02:00,7/5/2003,21
2003-05-07 14:03:00,7/5/2003,67
2003-05-07 14:04:00,7/5/2003,88
2003-05-07 14:05:00,7/5/2003,43
2003-05-07 14:06:00,7/5/2003,485
2003-05-07 14:07:00,7/5/2003,568
2003-05-07 14:08:00,7/5/2003,550
2003-05-07 14:09:00,7/5/2003,328
2003-05-07 14:10:00,7/5/2003,64
2003-05-07 14:11:00,7/5/2003,58
2003-05-07 14:12:00,7/5/2003,116
2003-05-07 14:13:00,7/5/2003,11
2003-05-07 14:14:00,7/5/2003,82
2003-05-07 14:15:00,7/5/2003,250
2003-05-07 14:16:00,7/5/2003,172
2003-05-07 14:17:00,7/5/2003,306
2003-05-07 14:18:00,7/5/2003,227
2003-05-07 14:19:00,7/5/2003,120
2003-05-07 14:20:00,7/5/2003,61
2003-05-07 14:21:00,7/5/2003,172
2003-05-07 14:22:00,7/5/2003,533
2003-05-07 14:23:00,7/5/2003,919
